Y,date,weekday,D,L,Z,K,slip,resid_trop,E,theta,hour,illum,beta,delta_t_h,dr_Y,dr_D,dr_Z,dr_K
4705,6731-06-30,Tuesday,1718465,1140,245495,58193,-8.559858,0.4975,99.745864,80.254136,23,0.41687,4.3389,21.643,7,5,2,8
4710,6736-06-30,Tuesday,1720292,1142,245756,58255,-12.45637,1.2865,147.279334,32.720666,23,0.07971,0.4019,21.688,3,5,2,7
4716,6742-06-30,Tuesday,1722483,1143,246069,58329,-6.719948,0.8334,69.739236,110.260764,23,0.67425,0.5426,21.741,9,9,9,9
4727,6753-06-30,Tuesday,1726501,1146,246643,58465,-4.880039,1.1693,46.568713,133.431287,23,0.84328,-4.5478,21.839,2,4,7,1
4733,6759-06-30,Tuesday,1728692,1147,246956,58539,0.856383,0.7161,1.555405,181.555405,0,0.99883,3.6172,21.892,8,8,5,3
4738,6764-06-30,Tuesday,1730519,1149,247217,58601,-3.040129,1.5052,30.184131,149.815869,23,0.931,4.7189,21.937,4,8,5,2
4744,6770-06-30,Tuesday,1732710,1150,247530,58675,2.696293,1.0521,27.944849,207.944849,0,0.94048,-4.8323,21.99,1,3,3,4
4755,6781-06-30,Tuesday,1736728,1153,248104,58811,4.536202,1.388,56.79039,236.79039,0,0.77479,1.0148,22.089,3,7,1,5
4761,6787-06-30,Tuesday,1738919,1154,248417,58885,10.272623,0.9348,113.95557,293.95557,0,0.29817,-1.8782,22.142,9,2,8,7
4766,6792-06-30,Tuesday,1740746,1156,248678,58947,6.376112,1.7239,80.311087,260.311087,0,0.58525,3.7218,22.187,5,2,8,6
4772,6798-06-30,Tuesday,1742937,1157,248991,59021,12.112533,1.2708,138.489739,318.489739,0,0.1267,-3.0372,22.241,2,6,6,8
4783,6809-06-30,Tuesday,1746955,1160,249565,59157,13.952443,1.6067,166.667722,346.667722,0,0.01537,4.9508,22.34,4,1,4,9
4789,6815-06-30,Tuesday,1749146,1161,249878,59232,-9.841725,1.1535,109.508067,70.491933,23,0.33462,-4.5386,22.394,1,5,2,3
4794,6820-06-30,Tuesday,1750973,1163,250139,59294,-13.738237,1.9426,155.662302,24.337698,23,0.04469,-0.7078,22.439,6,5,2,2
4800,6826-06-30,Tuesday,1753164,1164,250452,59368,-8.001815,1.4894,96.371827,83.628173,23,0.44573,1.2727,22.493,3,9,9,4
4811,6837-06-30,Tuesday,1757182,1167,251026,59504,-6.161906,1.8254,74.000447,105.999553,23,0.63872,3.4171,22.593,5,4,7,5
4817,6843-06-30,Tuesday,1759373,1168,251339,59578,-0.425484,1.3722,0.200008,179.799992,10,0.99888,-3.84,22.647,2,8,5,7
4822,6848-06-30,Tuesday,1761200,1170,251600,59640,-4.321996,2.1613,44.450641,135.549359,23,0.85616,-5.0243,22.692,7,8,5,6
4828,6854-06-30,Tuesday,1763391,1171,251913,59714,1.414425,1.7081,12.970643,192.970643,0,0.98549,4.9851,22.747,4,3,3,8
4839,6865-06-30,Tuesday,1767409,1174,252487,59850,3.254335,2.044,30.596527,210.596527,0,0.93029,-2.7028,22.847,6,7,1,9
4845,6871-06-30,Tuesday,1769600,1175,252800,59924,8.990756,1.5909,111.916812,291.916812,0,0.31461,1.6268,22.901,3,2,8,2
4850,6876-06-30,Tuesday,1771427,1177,253061,59986,5.094245,2.38,53.154066,233.154066,0,0.80056,-2.0892,22.947,8,2,8,1
4856,6882-06-30,Tuesday,1773618,1178,253374,60060,10.830666,1.9268,131.10743,311.10743,0,0.17241,2.9013,23.002,5,6,6,3
4867,6893-06-30,Tuesday,1777636,1181,253948,60196,12.670576,2.2627,146.494592,326.494592,0,0.08508,-5.0452,23.102,7,1,4,4
4873,6899-06-30,Tuesday,1779827,1182,254261,60271,-11.123592,1.8096,128.883016,51.116984,23,0.18811,4.9428,23.157,4,5,2,7
4879,6905-06-30,Tuesday,1782018,1183,254574,60345,-5.387171,1.3565,59.47344,120.52656,23,0.75387,-4.9377,23.212,1,9,9,9
4885,6911-06-30,Tuesday,1784209,1184,254887,60419,0.349251,0.9033,0.016982,180.016982,0,0.99823,4.8321,23.267,7,4,7,2
4890,6916-06-30,Tuesday,1786036,1186,255148,60481,-3.547261,1.6924,42.459907,137.540093,23,0.86918,1.8709,23.313,3,4,7,1
4896,6922-06-30,Tuesday,1788227,1187,255461,60555,2.18916,1.2392,27.232989,207.232989,0,0.94479,-1.2368,23.368,9,8,5,3
4907,6933-06-30,Tuesday,1792245,1190,256035,60691,4.02907,1.5751,51.041114,231.041114,0,0.81459,-3.5431,23.47,2,3,3,4
4913,6939-06-30,Tuesday,1794436,1191,256348,60765,9.765491,1.122,109.110525,289.110525,0,0.33774,2.9702,23.525,8,7,1,6
4918,6944-06-30,Tuesday,1796263,1193,256609,60827,5.86898,1.9111,66.377374,246.377374,0,0.70061,5.2442,23.571,4,7,1,5
4924,6950-06-30,Tuesday,1798454,1194,256922,60901,11.605401,1.4579,138.703693,318.703693,0,0.12643,-5.0835,23.627,1,2,8,7
4935,6961-06-30,Tuesday,1802472,1197,257496,61037,13.445311,1.7938,164.43189,344.43189,0,0.01876,2.0779,23.729,3,6,6,8
4941,6967-06-30,Tuesday,1804663,1198,257809,61112,-10.348857,1.3407,123.928093,56.071907,23,0.22185,-1.2434,23.784,9,1,4,2
4946,6972-06-30,Tuesday,1806490,1200,258070,61174,-14.245369,2.1297,161.698205,18.301795,23,0.02635,3.6026,23.831,5,1,4,1
4952,6978-06-30,Tuesday,1808681,1201,258383,61248,-8.508947,1.6766,102.809726,77.190274,23,0.39057,-3.3919,23.887,2,5,2,3
4963,6989-06-30,Tuesday,1812699,1204,258957,61384,-6.669038,2.0125,73.020428,106.979572,23,0.6466,5.1572,23.989,4,9,9,4
4969,6995-06-30,Tuesday,1814890,1205,259270,61458,-0.932616,1.5594,4.6067,175.3933,23,0.99663,-4.8208,24.045,1,4,7,6
4975,7001-06-30,Tuesday,1817081,1206,259583,61532,4.803805,1.1062,54.370167,234.370167,0,0.79108,5.0981,24.101,7,8,5,8
4981,7007-06-30,Tuesday,1819272,1207,259896,61606,10.540227,0.6531,121.749705,301.749705,0,0.23885,-5.1069,24.157,4,3,3,1
4986,7012-06-30,Tuesday,1821099,1209,260157,61668,6.643715,1.4422,83.532418,263.532418,0,0.55764,-1.649,24.204,9,3,3,9
4992,7018-06-30,Tuesday,1823290,1210,260470,61742,12.380136,0.989,139.870133,319.870133,0,0.11858,2.429,24.26,6,7,1,2
